"LBXF06LA.Code.or.Value","LBXF06LA.Value.Description","LBXF06LA.Count","LBXF06LA.Cumulative","LBXF06LA.Skip.to.Item"
"0.4 to 6","Range of Values",1223,1223,NA
".","Missing",1324,2547,NA
