"LBXSNASI.Code.or.Value","LBXSNASI.Value.Description","LBXSNASI.Count","LBXSNASI.Cumulative","LBXSNASI.Skip.to.Item"
"124 to 161","Range of Values",6257,6257,NA
".","Missing",487,6744,NA
