"MIAPROXY.Code.or.Value","MIAPROXY.Value.Description","MIAPROXY.Count","MIAPROXY.Cumulative","MIAPROXY.Skip.to.Item"
"1","Yes",38,38,NA
"2","No",7321,7359,NA
".","Missing",3178,10537,NA
