"URDUURLC.Code.or.Value","URDUURLC.Value.Description","URDUURLC.Count","URDUURLC.Cumulative","URDUURLC.Skip.to.Item"
"0","At or above the detection limit",1990,1990,NA
"1","Below lower detection limit",383,2373,NA
".","Missing",89,2462,NA
