"LBD172LC.Code.or.Value","LBD172LC.Value.Description","LBD172LC.Count","LBD172LC.Cumulative","LBD172LC.Skip.to.Item"
"0","At or above the detection limit",149,149,NA
"1","Below lower detection limit",98,247,NA
".","Missing",0,247,NA
