"BPXDI2.Code.or.Value","BPXDI2.Value.Description","BPXDI2.Count","BPXDI2.Cumulative","BPXDI2.Skip.to.Item"
"0 to 134","Range of Values",6908,6908,NA
".","Missing",2430,9338,NA
