"DR2LANG.Code.or.Value","DR2LANG.Value.Description","DR2LANG.Count","DR2LANG.Cumulative","DR2LANG.Skip.to.Item"
"1","English",105969,105969,NA
"2","Spanish",13508,119477,NA
"3","English and Spanish",1216,120693,NA
"4","Other",0,120693,NA
".","Missing",178,120871,NA
