"URDHEMLC.Code.or.Value","URDHEMLC.Value.Description","URDHEMLC.Count","URDHEMLC.Cumulative","URDHEMLC.Skip.to.Item"
"0","At or above the detection limit",1175,1175,NA
"1","Below lower detection limit",1480,2655,NA
".","Missing",324,2979,NA
