"WTDRD1.Code.or.Value","WTDRD1.Value.Description","WTDRD1.Count","WTDRD1.Cumulative","WTDRD1.Skip.to.Item"
"587.82468143 to 338460.18501","Range of Values",9349,9349,NA
".","Missing",601,9950,NA
