"MCQ260BH.Code.or.Value","MCQ260BH.Value.Description","MCQ260BH.Count","MCQ260BH.Cumulative","MCQ260BH.Skip.to.Item"
"8","Sister",51,51,"MCQ250C"
".","Missing",9594,9645,""
