"DR2IMFAT.Code.or.Value","DR2IMFAT.Value.Description","DR2IMFAT.Count","DR2IMFAT.Cumulative","DR2IMFAT.Skip.to.Item"
"0 to 118.757","Range of Values",111931,111931,NA
".","Missing",647,112578,NA
