"SPXPTS.Code.or.Value","SPXPTS.Value.Description","SPXPTS.Count","SPXPTS.Cumulative","SPXPTS.Skip.to.Item"
"1 to 2044","Range of Values",36421,36421,NA
".","Missing",0,36421,NA
