"URXUCR.Code.or.Value","URXUCR.Value.Description","URXUCR.Count","URXUCR.Cumulative","URXUCR.Skip.to.Item"
"5 to 774","Range of Values",8373,8373,NA
".","Missing",274,8647,NA
