"DSXMM1.Code.or.Value","DSXMM1.Value.Description","DSXMM1.Count","DSXMM1.Cumulative","DSXMM1.Skip.to.Item"
"0.07 to 6047.4","Range of Values",6957,6957,NA
".","Missing",2483,9440,NA
