"DRD370E.Code.or.Value","DRD370E.Value.Description","DRD370E.Count","DRD370E.Cumulative","DRD370E.Skip.to.Item"
"1","Yes",559,559,""
"2","No",4562,5121,"DRD370F"
".","Missing",4692,9813,""
