"BMXWT.Code.or.Value","BMXWT.Value.Description","BMXWT.Count","BMXWT.Cumulative","BMXWT.Skip.to.Item"
"2.6 to 371","Range of Values",9847,9847,NA
".","Missing",103,9950,NA
