"SXQ624.Code.or.Value","SXQ624.Value.Description","SXQ624.Count","SXQ624.Cumulative","SXQ624.Skip.to.Item"
"1 to 500","Range of Values",1573,1573,NA
"77777","Refused",7,1580,NA
"99999","Don't know",2,1582,NA
".","Missing",3475,5057,NA
