"WTSCI03.Code.or.Value","WTSCI03.Value.Description","WTSCI03.Count","WTSCI03.Cumulative","WTSCI03.Skip.to.Item"
"0 to 452283.98312","Range of Values",727,727,NA
".","Missing",51,778,NA
