"CVDESVO2.Code.or.Value","CVDESVO2.Value.Description","CVDESVO2.Count","CVDESVO2.Cumulative","CVDESVO2.Skip.to.Item"
"17.99 to 132.07","Range of Values",2561,2561,NA
".","Missing",2041,4602,NA
