"LBDBR1LC.Code.or.Value","LBDBR1LC.Value.Description","LBDBR1LC.Count","LBDBR1LC.Cumulative","LBDBR1LC.Skip.to.Item"
"0","At or above the detection limit",100,100,NA
"1","Below lower detection limit",1892,1992,NA
".","Missing",345,2337,NA
