"LBDF05LC.Code.or.Value","LBDF05LC.Value.Description","LBDF05LC.Count","LBDF05LC.Cumulative","LBDF05LC.Skip.to.Item"
"0","At or above the detection limit",240,240,NA
"1","Below lower detection limit",6,246,NA
".","Missing",1,247,NA
