"KIQ311.Code.or.Value","KIQ311.Value.Description","KIQ311.Count","KIQ311.Cumulative","KIQ311.Skip.to.Item"
"1","Yes",21,21,NA
"2","No",41,62,NA
"7","Refused",0,62,NA
"9","Don't know",1,63,NA
".","Missing",1538,1601,NA
