"TYXP165.Code.or.Value","TYXP165.Value.Description","TYXP165.Count","TYXP165.Cumulative","TYXP165.Skip.to.Item"
"-299 to 4","Range of Values",4262,4262,NA
".","Missing",4207,8469,NA
