"ENXTR2Q.Code.or.Value","ENXTR2Q.Value.Description","ENXTR2Q.Count","ENXTR2Q.Cumulative","ENXTR2Q.Skip.to.Item"
"5 to 227","Range of Values",5744,5744,NA
".","Missing",1999,7743,NA
