"DXXBICDE.Code.or.Value","DXXBICDE.Value.Description","DXXBICDE.Count","DXXBICDE.Cumulative","DXXBICDE.Skip.to.Item"
"-0.009 to 0.296","Range of Values",3286,3286,NA
".","Missing",422,3708,NA
