"LBXVTP.Code.or.Value","LBXVTP.Value.Description","LBXVTP.Count","LBXVTP.Cumulative","LBXVTP.Skip.to.Item"
"0.028 to 0.028","Range of Values",3036,3036,NA
".","Missing",358,3394,NA
