"URD2MHLC.Code.or.Value","URD2MHLC.Value.Description","URD2MHLC.Count","URD2MHLC.Cumulative","URD2MHLC.Skip.to.Item"
"0","At or above the detection limit",2999,2999,NA
"1","Below lower detection limit",170,3169,NA
".","Missing",148,3317,NA
