"LBXVCF.Code.or.Value","LBXVCF.Value.Description","LBXVCF.Count","LBXVCF.Cumulative","LBXVCF.Skip.to.Item"
"1.4849 to 13000","Range of Values",2754,2754,NA
".","Missing",661,3415,NA
