"DR2EXMER.Code.or.Value","DR2EXMER.Value.Description","DR2EXMER.Count","DR2EXMER.Cumulative","DR2EXMER.Skip.to.Item"
"11 to 97","Range of Values",8406,8406,NA
".","Missing",1237,9643,NA
