"URXDEE.Code.or.Value","URXDEE.Value.Description","URXDEE.Count","URXDEE.Cumulative","URXDEE.Skip.to.Item"
"0.0587 to 2.82","Range of Values",2565,2565,NA
".","Missing",129,2694,NA
