"URXUCO.Code.or.Value","URXUCO.Value.Description","URXUCO.Count","URXUCO.Cumulative","URXUCO.Skip.to.Item"
"0.016 to 32.377","Range of Values",2808,2808,NA
".","Missing",171,2979,NA
