"WBXP096.Code.or.Value","WBXP096.Value.Description","WBXP096.Count","WBXP096.Cumulative","WBXP096.Skip.to.Item"
"-162.0991 to 167.4039","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
