"RFXT100.Code.or.Value","RFXT100.Value.Description","RFXT100.Count","RFXT100.Cumulative","RFXT100.Skip.to.Item"
"867 to 876","Range of Values",51062,51062,NA
".","Missing",14,51076,NA
