"LBXSCR.Code.or.Value","LBXSCR.Value.Description","LBXSCR.Count","LBXSCR.Cumulative","LBXSCR.Skip.to.Item"
"0.25 to 12.74","Range of Values",5903,5903,NA
".","Missing",498,6401,NA
