"AUXRR139.Code.or.Value","AUXRR139.Value.Description","AUXRR139.Count","AUXRR139.Cumulative","AUXRR139.Skip.to.Item"
"-61 to 65","Range of Values",1676,1676,NA
".","Missing",131,1807,NA
