"DCQ090.Code.or.Value","DCQ090.Value.Description","DCQ090.Count","DCQ090.Cumulative","DCQ090.Skip.to.Item"
"1","Low pile",823,823,NA
"2","High pile",75,898,NA
"3","Not applicable",33,931,NA
".","Missing",336,1267,NA
