"CVDR1DI.Code.or.Value","CVDR1DI.Value.Description","CVDR1DI.Count","CVDR1DI.Cumulative","CVDR1DI.Skip.to.Item"
"39 to 136","Range of Values",3048,3048,NA
".","Missing",2104,5152,NA
