"AUXTCOMR.Code.or.Value","AUXTCOMR.Value.Description","AUXTCOMR.Count","AUXTCOMR.Cumulative","AUXTCOMR.Skip.to.Item"
"0 to 4.4","Range of Values",3837,3837,NA
"777","Refused",3,3840,NA
"888","Could not obtain",33,3873,NA
".","Missing",627,4500,NA
