"RDD040.Code.or.Value","RDD040.Value.Description","RDD040.Count","RDD040.Cumulative","RDD040.Skip.to.Item"
"1 to 66","Range of Values",506,506,NA
"70","70 to 150",6,512,NA
"77777","Refused",0,512,NA
"99999","Don't know",15,527,NA
".","Missing",9943,10470,NA
