"DS2TVB2.Code.or.Value","DS2TVB2.Value.Description","DS2TVB2.Count","DS2TVB2.Cumulative","DS2TVB2.Skip.to.Item"
"0 to 280","Range of Values",1677,1677,NA
".","Missing",8085,9762,NA
