"DS1TVB12.Code.or.Value","DS1TVB12.Value.Description","DS1TVB12.Count","DS1TVB12.Cumulative","DS1TVB12.Skip.to.Item"
"0.3 to 60000","Range of Values",1622,1622,NA
".","Missing",7922,9544,NA
