"WBXA045.Code.or.Value","WBXA045.Value.Description","WBXA045.Count","WBXA045.Cumulative","WBXA045.Skip.to.Item"
"-1.8662 to 1","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
