"LBDTRSI.Code.or.Value","LBDTRSI.Value.Description","LBDTRSI.Count","LBDTRSI.Cumulative","LBDTRSI.Skip.to.Item"
"0.215 to 18.064","Range of Values",3089,3089,NA
".","Missing",263,3352,NA
