"URDDHBLC.Code.or.Value","URDDHBLC.Value.Description","URDDHBLC.Count","URDDHBLC.Cumulative","URDDHBLC.Skip.to.Item"
"0","At or above the detection limit",2638,2638,NA
"1","Below lower detection limit",1,2639,NA
".","Missing",116,2755,NA
