"DXXPT70Y.Code.or.Value","DXXPT70Y.Value.Description","DXXPT70Y.Count","DXXPT70Y.Cumulative","DXXPT70Y.Skip.to.Item"
"122 to 354.8","Range of Values",3281,3281,NA
".","Missing",427,3708,NA
