"LBDSF1LC.Code.or.Value","LBDSF1LC.Value.Description","LBDSF1LC.Count","LBDSF1LC.Cumulative","LBDSF1LC.Skip.to.Item"
"0","At or above the detection limit",7471,7471,NA
"1","Below lower detection limit",0,7471,NA
".","Missing",1485,8956,NA
