"DXXLABEL.Code.or.Value","DXXLABEL.Value.Description","DXXLABEL.Count","DXXLABEL.Cumulative","DXXLABEL.Skip.to.Item"
"T6","T6",3195,3195,NA
"< blank >","Missing",513,3708,NA
