"CSQ040.Code.or.Value","CSQ040.Value.Description","CSQ040.Count","CSQ040.Cumulative","CSQ040.Skip.to.Item"
"1","Yes",260,260,NA
"2","No",3331,3591,NA
"7","Refused",1,3592,NA
"9","Don't know",11,3603,NA
".","Missing",0,3603,NA
