"LBDPCT.Code.or.Value","LBDPCT.Value.Description","LBDPCT.Count","LBDPCT.Cumulative","LBDPCT.Skip.to.Item"
"1.4 to 95","Range of Values",3096,3096,NA
".","Missing",442,3538,NA
