"URXMB1.Code.or.Value","URXMB1.Value.Description","URXMB1.Count","URXMB1.Cumulative","URXMB1.Skip.to.Item"
"0.495 to 1.54","Range of Values",2987,2987,NA
".","Missing",292,3279,NA
