"VTQ270A.Code.or.Value","VTQ270A.Value.Description","VTQ270A.Count","VTQ270A.Cumulative","VTQ270A.Skip.to.Item"
"1","Yes",1165,1165,NA
"2","No",297,1462,NA
"7","Refused",2,1464,NA
"9","Don't know",0,1464,NA
".","Missing",25,1489,NA
