"DXXSPY.Code.or.Value","DXXSPY.Value.Description","DXXSPY.Count","DXXSPY.Cumulative","DXXSPY.Skip.to.Item"
"0 to 1","Range of Values",3293,3293,NA
".","Missing",415,3708,NA
