"DXXPT89X.Code.or.Value","DXXPT89X.Value.Description","DXXPT89X.Count","DXXPT89X.Cumulative","DXXPT89X.Skip.to.Item"
"489.2 to 1071.9","Range of Values",3281,3281,NA
".","Missing",427,3708,NA
