"DXXINITX.Code.or.Value","DXXINITX.Value.Description","DXXINITX.Count","DXXINITX.Cumulative","DXXINITX.Skip.to.Item"
"134.6 to 363","Range of Values",3286,3286,NA
".","Missing",422,3708,NA
