"URDP06LC.Code.or.Value","URDP06LC.Value.Description","URDP06LC.Count","URDP06LC.Cumulative","URDP06LC.Skip.to.Item"
"0","At or above the detection limit",2489,2489,NA
"1","Below lower detection limit",3,2492,NA
".","Missing",102,2594,NA
