"BPQ100D.Code.or.Value","BPQ100D.Value.Description","BPQ100D.Count","BPQ100D.Cumulative","BPQ100D.Skip.to.Item"
"1","Yes",554,554,NA
"2","No",136,690,NA
"7","Refused",0,690,NA
"9","Don't know",0,690,NA
".","Missing",5944,6634,NA
