"DS1ISELE.Code.or.Value","DS1ISELE.Value.Description","DS1ISELE.Count","DS1ISELE.Cumulative","DS1ISELE.Skip.to.Item"
"1 to 400","Range of Values",1015,1015,NA
".","Missing",4679,5694,NA
