"DXXCRUDE.Code.or.Value","DXXCRUDE.Value.Description","DXXCRUDE.Count","DXXCRUDE.Cumulative","DXXCRUDE.Skip.to.Item"
"-0.295 to 0.496","Range of Values",3242,3242,NA
".","Missing",466,3708,NA
