"AUDTYR28.Code.or.Value","AUDTYR28.Value.Description","AUDTYR28.Count","AUDTYR28.Cumulative","AUDTYR28.Skip.to.Item"
"0 to 1.78","Range of Values",2754,2754,NA
".","Missing",280,3034,NA
