"LBDB12SI.Code.or.Value","LBDB12SI.Value.Description","LBDB12SI.Count","LBDB12SI.Cumulative","LBDB12SI.Skip.to.Item"
"25.09 to 25279.45","Range of Values",8267,8267,NA
".","Missing",912,9179,NA
