"WTDRD1.Code.or.Value","WTDRD1.Value.Description","WTDRD1.Count","WTDRD1.Cumulative","WTDRD1.Skip.to.Item"
"1774.4576942 to 284667.40798","Range of Values",121341,121341,NA
".","Missing",0,121341,NA
