"SS3adlG.Code.or.Value","SS3adlG.Value.Description","SS3adlG.Count","SS3adlG.Cumulative","SS3adlG.Skip.to.Item"
"0.592 to 55.173","Range of Values",403,403,NA
".","Missing",11,414,NA
