"LBXMIR.Code.or.Value","LBXMIR.Value.Description","LBXMIR.Count","LBXMIR.Cumulative","LBXMIR.Skip.to.Item"
"0.015 to 1.958","Range of Values",1853,1853,NA
".","Missing",421,2274,NA
