"AUDTYR14.Code.or.Value","AUDTYR14.Value.Description","AUDTYR14.Count","AUDTYR14.Cumulative","AUDTYR14.Skip.to.Item"
"0 to 1.53","Range of Values",2754,2754,NA
".","Missing",280,3034,NA
